Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,126.699997,129.440002,124.230003,128.869995,6188700,113.396301
2006-01-04,127.349998,128.91000400000001,126.379997,127.089996,4861600,111.83003000000001
2006-01-05,126.0,127.32,125.610001,127.040001,3717400,111.78603799999999
2006-01-06,127.290001,129.25,127.290001,128.83999599999999,4319600,113.369904
2006-01-09,128.5,130.619995,128.0,130.389999,4723500,114.733795
2006-01-10,130.050003,132.949997,130.020004,132.029999,5536800,116.17687600000001
2006-01-11,131.449997,133.800003,131.419998,131.970001,4671400,116.12408300000001
2006-01-12,131.399994,133.21000700000002,131.380005,132.25,3725500,116.370461
2006-01-13,132.020004,133.66000400000001,131.899994,133.259995,2894900,117.259184
2006-01-17,131.0,133.130005,130.58999599999999,132.58999599999999,3621600,116.669634
2006-01-18,131.059998,132.679993,131.009995,132.369995,4302700,116.47604799999999
2006-01-19,132.720001,134.820007,132.71000700000002,133.820007,5010700,117.751954
2006-01-20,132.850006,134.059998,131.25,131.440002,5679900,115.874195
2006-01-23,131.639999,134.179993,131.639999,132.869995,3847900,117.134841
2006-01-24,132.630005,134.08999599999999,132.33999599999999,133.0,3758000,117.24945
2006-01-25,133.649994,134.03999299999998,132.46000700000002,133.559998,3740500,117.74312900000001
2006-01-26,133.009995,138.360001,133.009995,137.399994,4808200,121.128373
2006-01-27,137.929993,139.75,137.100006,138.940002,3687900,122.486006
2006-01-30,139.550003,140.639999,138.71000700000002,139.869995,3168600,123.30586399999999
2006-01-31,139.729996,141.860001,138.449997,141.25,4906200,124.522442
2006-02-01,141.399994,142.949997,140.429993,141.71000700000002,3635900,124.927972
2006-02-02,142.270004,143.770004,141.399994,142.520004,3711000,125.642046
2006-02-03,141.550003,143.119995,140.699997,142.740005,4178900,125.83599299999999
2006-02-06,142.610001,144.100006,141.600006,142.820007,3849300,125.906521
2006-02-07,142.350006,143.309998,139.479996,139.479996,5207700,122.962051
2006-02-08,140.100006,141.929993,139.320007,141.139999,4481400,124.425468
2006-02-09,141.139999,142.850006,140.490005,140.850006,3059500,124.169817
2006-02-10,140.669998,141.850006,137.800003,140.809998,4433100,124.134547
2006-02-13,139.649994,141.800003,139.149994,139.649994,2155200,123.11191699999999
2006-02-14,141.199997,142.320007,138.770004,141.779999,3003100,124.989675
2006-02-15,142.0,145.5,141.399994,145.139999,4330700,127.95176699999999
2006-02-16,146.100006,146.350006,144.21000700000002,145.899994,2847300,128.621759
2006-02-17,146.190002,146.220001,144.059998,145.53999299999998,2407200,128.30439199999998
2006-02-21,145.559998,145.75,143.009995,143.449997,2539800,126.461904
2006-02-22,143.449997,145.529999,143.229996,145.529999,2664200,128.295581
2006-02-23,145.610001,145.610001,143.78999299999998,143.96000700000002,2457400,126.91151599999999
2006-02-24,143.050003,145.399994,143.050003,144.16000400000001,2314700,127.087828
2006-02-27,144.809998,145.25,143.33999599999999,143.820007,2282200,126.788096
2006-02-28,143.600006,144.16000400000001,141.110001,141.28999299999998,3911700,124.557699
2006-03-01,141.979996,143.740005,141.559998,143.149994,2989900,126.197429
2006-03-02,143.070007,144.860001,142.240005,144.0,2902300,126.946773
2006-03-03,143.5,147.479996,143.100006,146.0,4042700,128.709922
2006-03-06,146.53999299999998,147.080002,144.309998,145.020004,2900600,127.845983
2006-03-07,144.369995,144.46000700000002,143.169998,144.279999,2775400,127.19361200000002
2006-03-08,143.550003,144.669998,141.259995,142.490005,3633100,125.615599
2006-03-09,142.66000400000001,143.399994,141.199997,141.699997,2262100,124.91914799999999
2006-03-10,141.630005,142.449997,140.149994,141.529999,3247000,124.769282
2006-03-13,141.550003,142.949997,139.179993,140.720001,4945700,124.05520800000001
2006-03-14,145.919998,149.5,145.619995,149.419998,11360100,131.724906
2006-03-15,148.300003,149.639999,147.58999599999999,149.0,7557100,131.354647
2006-03-16,149.100006,149.690002,147.449997,147.690002,6025800,130.19978600000002
